Day	Date 	  Open   	  High   	  Low   	  Close   
Monday	3-Jan-00	" 1,482.15 "	" 1,592.90 "	" 1,482.15 "	" 1,592.20 "
Tuesday	4-Jan-00	" 1,594.40 "	" 1,641.95 "	" 1,594.40 "	" 1,638.70 "
Wednesday	5-Jan-00	" 1,634.55 "	" 1,635.50 "	" 1,555.05 "	" 1,595.80 "
Thursday	6-Jan-00	" 1,595.80 "	" 1,639.00 "	" 1,595.80 "	" 1,617.60 "
Friday	7-Jan-00	" 1,616.60 "	" 1,628.25 "	" 1,597.20 "	" 1,613.30 "
Monday	10-Jan-00	" 1,615.65 "	" 1,662.10 "	" 1,614.95 "	" 1,632.95 "
Tuesday	11-Jan-00	" 1,633.25 "	" 1,639.90 "	" 1,548.25 "	" 1,572.50 "
Wednesday	12-Jan-00	" 1,572.30 "	" 1,631.55 "	" 1,571.70 "	" 1,624.80 "
Thursday	13-Jan-00	" 1,627.85 "	" 1,671.15 "	" 1,613.65 "	" 1,621.40 "
Friday	14-Jan-00	" 1,622.15 "	" 1,627.40 "	" 1,591.40 "	" 1,622.75 "
Monday	17-Jan-00	" 1,623.50 "	" 1,668.45 "	" 1,604.65 "	" 1,611.60 "
Tuesday	18-Jan-00	" 1,611.65 "	" 1,615.15 "	" 1,587.85 "	" 1,606.70 "
Wednesday	19-Jan-00	" 1,610.05 "	" 1,644.45 "	" 1,608.85 "	" 1,634.85 "
Thursday	20-Jan-00	" 1,634.65 "	" 1,644.40 "	" 1,596.65 "	" 1,601.10 "
Friday	21-Jan-00	" 1,601.25 "	" 1,626.50 "	" 1,593.20 "	" 1,620.60 "
Monday	24-Jan-00	" 1,623.05 "	" 1,645.00 "	" 1,608.30 "	" 1,613.60 "
Tuesday	25-Jan-00	" 1,612.95 "	" 1,613.65 "	" 1,579.55 "	" 1,586.40 "
Thursday	27-Jan-00	" 1,600.50 "	" 1,633.55 "	" 1,600.05 "	" 1,603.90 "
Friday	28-Jan-00	" 1,603.65 "	" 1,610.90 "	" 1,592.70 "	" 1,599.10 "
Monday	31-Jan-00	" 1,598.35 "	" 1,598.35 "	" 1,538.70 "	" 1,546.20 "
Tuesday	1-Feb-00	" 1,546.20 "	" 1,554.15 "	" 1,521.40 "	" 1,549.50 "
Wednesday	2-Feb-00	" 1,554.20 "	" 1,605.90 "	" 1,554.20 "	" 1,588.00 "
Thursday	3-Feb-00	" 1,591.25 "	" 1,616.70 "	" 1,591.25 "	" 1,597.90 "
Friday	4-Feb-00	" 1,598.50 "	" 1,621.35 "	" 1,596.45 "	" 1,599.75 "
Monday	7-Feb-00	" 1,599.80 "	" 1,645.90 "	" 1,599.80 "	" 1,636.60 "
Tuesday	8-Feb-00	" 1,636.60 "	" 1,676.10 "	" 1,636.60 "	" 1,662.75 "
Wednesday	9-Feb-00	" 1,666.95 "	" 1,731.65 "	" 1,666.70 "	" 1,689.65 "
Thursday	10-Feb-00	" 1,692.10 "	" 1,713.70 "	" 1,692.10 "	" 1,711.20 "
Friday	11-Feb-00	" 1,712.85 "	" 1,771.65 "	" 1,712.85 "	" 1,756.00 "
Monday	14-Feb-00	" 1,777.75 "	" 1,795.45 "	" 1,738.75 "	" 1,744.50 "
Tuesday	15-Feb-00	" 1,744.50 "	" 1,744.50 "	" 1,694.45 "	" 1,702.55 "
Wednesday	16-Feb-00	" 1,704.85 "	" 1,742.80 "	" 1,704.15 "	" 1,711.10 "
Thursday	17-Feb-00	" 1,710.05 "	" 1,753.10 "	" 1,710.05 "	" 1,742.10 "
Friday	18-Feb-00	" 1,742.30 "	" 1,764.15 "	" 1,713.45 "	" 1,717.80 "
Monday	21-Feb-00	" 1,719.55 "	" 1,767.80 "	" 1,719.55 "	" 1,753.50 "
Tuesday	22-Feb-00	" 1,754.20 "	" 1,781.05 "	" 1,733.55 "	" 1,739.05 "
Wednesday	23-Feb-00	" 1,745.20 "	" 1,818.15 "	" 1,689.20 "	" 1,696.40 "
Thursday	24-Feb-00	" 1,696.40 "	" 1,751.60 "	" 1,693.10 "	" 1,732.00 "
Friday	25-Feb-00	" 1,734.05 "	" 1,757.05 "	" 1,699.25 "	" 1,710.45 "
Monday	28-Feb-00	" 1,711.15 "	" 1,726.65 "	" 1,670.75 "	" 1,722.55 "
Tuesday	29-Feb-00	" 1,722.85 "	" 1,783.30 "	" 1,626.35 "	" 1,654.80 "
Wednesday	1-Mar-00	" 1,661.50 "	" 1,727.90 "	" 1,630.00 "	" 1,712.70 "
Thursday	2-Mar-00	" 1,713.65 "	" 1,773.85 "	" 1,690.05 "	" 1,696.55 "
Friday	3-Mar-00	" 1,696.45 "	" 1,719.15 "	" 1,644.40 "	" 1,656.00 "
Monday	6-Mar-00	" 1,656.00 "	" 1,721.00 "	" 1,656.00 "	" 1,688.50 "
Tuesday	7-Mar-00	" 1,711.85 "	" 1,730.85 "	" 1,684.90 "	" 1,702.75 "
Wednesday	8-Mar-00	" 1,717.75 "	" 1,765.25 "	" 1,654.45 "	" 1,666.35 "
Thursday	9-Mar-00	" 1,667.45 "	" 1,692.25 "	" 1,595.45 "	" 1,646.25 "
Friday	10-Mar-00	" 1,647.85 "	" 1,680.45 "	" 1,588.20 "	" 1,602.75 "
Monday	13-Mar-00	" 1,601.40 "	" 1,645.00 "	" 1,553.45 "	" 1,560.70 "
Tuesday	14-Mar-00	" 1,561.55 "	" 1,571.30 "	" 1,503.20 "	" 1,567.05 "
Wednesday	15-Mar-00	" 1,546.80 "	" 1,630.95 "	" 1,538.70 "	" 1,620.10 "
Thursday	16-Mar-00	" 1,620.40 "	" 1,621.20 "	" 1,554.30 "	" 1,562.20 "
