Account	 Net Debit 	 Net Credit 	 Net Figures 	Part	Head	Sub-Head	Notes to Accounts	Major Head
Accounts Receivable	 46,577,665.27 	 -   	 46,577,665.27 	Balance Sheet	Current Assets	Trade Receivables	Trade Receivables	Assets
Accumulated Depriciation	 -   	 1,906,638.26 	 -1,906,638.26 	Balance Sheet	Non-Current Assets	Property, Plant and Equipment	Property, Plant and Equipments	Assets
Computer	 -   	 40,224.73 	 -40,224.73 	Balance Sheet	Non-Current Assets	Property, Plant and Equipment	Computer	Assets
Laptop	 2,663,248.00 	 -   	 2,663,248.00 	Balance Sheet	Non-Current Assets	Property, Plant and Equipment	Computer	Assets
Mobile	 52,566.36 	 -   	 52,566.36 	Balance Sheet	Non-Current Assets	Property, Plant and Equipment	Computer	Assets
Monitor	 158,337.65 	 -   	 158,337.65 	Balance Sheet	Non-Current Assets	Property, Plant and Equipment	Computer	Assets
Electricity Deposit-Advant	 10,000.00 	 -   	 10,000.00 	Balance Sheet	Current Assets	Other Non Current Assets	Security Deposits	Assets
Office Maintenance- Advant	 250,379.00 	 -   	 250,379.00 	Balance Sheet	Current Assets	Other Non Current Assets	Security Deposits	Assets
Power Security Deposit- WHM	 660,000.00 	 -   	 660,000.00 	Balance Sheet	Current Assets	Other Non Current Assets	Security Deposits	Assets
Security Deposit -WH Bangalore	 1,417,190.00 	 -   	 1,417,190.00 	Balance Sheet	Current Assets	Other Non Current Assets	Security Deposits	Assets
Security Deposit -WH Muzaffarnagar	 1,080,000.00 	 -   	 1,080,000.00 	Balance Sheet	Current Assets	Other Non Current Assets	Security Deposits	Assets
Security Deposit -WH Noida	 145,000.00 	 -   	 145,000.00 	Balance Sheet	Current Assets	Other Non Current Assets	Security Deposits	Assets
Security Deposit-Advant Rent	 736,596.00 	 -   	 736,596.00 	Balance Sheet	Current Assets	Other Non Current Assets	Security Deposits	Assets
Security Deposit-Noida Spectra	 2,000.00 	 -   	 2,000.00 	Balance Sheet	Current Assets	Other Non Current Assets	Security Deposits	Assets
Security Deposit-Singapore	 57,000.00 	 -   	 57,000.00 	Balance Sheet	Current Assets	Other Non Current Assets	Security Deposits	Assets
Developments Charges	 750,000.00 	 -   	 750,000.00 	Balance Sheet	Non-Current Assets	Property, Plant and Equipment	Property, Plant and Equipments	Assets
Finished Goods	 10,571,351.57 	 -   	 10,571,351.57 	Balance Sheet	Current Assets	Inventories	Finished Goods	Assets
Furniture and Fixture	 2,295,238.20 	 -   	 2,295,238.20 	Balance Sheet	Non-Current Assets	Property, Plant and Equipment	Furniture and Fixture	Assets
Racks	 251,000.00 	 -   	 251,000.00 	Balance Sheet	Non-Current Assets	Property, Plant and Equipment	Furniture and Fixture	Assets
